Market,Week,WeekDay,Hour,Revenue,Count,AvgFare
STNDUB,51,1,0,511,14,37 
STNDUB,51,1,1,81,4,20 
STNDUB,51,1,2,353,8,44 
STNDUB,51,1,3,333,4,83 
STNDUB,51,1,4,40,2,20 
STNDUB,51,1,6,216,3,72 
STNDUB,51,1,7,523,6,87 
STNDUB,51,1,8,410,7,59 
STNDUB,51,1,9,720,29,25 
STNDUB,51,1,10,1527,43,36 
STNDUB,51,1,11,1134,27,42 
STNDUB,51,1,12,1716,42,41 
STNDUB,51,1,13,1432,27,53 
STNDUB,51,1,14,2043,43,48 
STNDUB,51,1,15,1701,42,41 
STNDUB,51,1,16,1663,33,50 
STNDUB,51,1,17,1604,45,36 
STNDUB,51,1,18,1975,47,42 
STNDUB,51,1,19,2235,76,29 
STNDUB,51,1,20,2392,48,50 
STNDUB,51,1,21,2394,63,38 
STNDUB,51,1,22,1789,36,50 
STNDUB,51,1,23,1841,32,58 
STNDUB,51,2,0,875,10,88 
STNDUB,51,2,1,416,12,35 
STNDUB,51,2,2,273,5,55 
STNDUB,51,2,4,48,1,48 
STNDUB,51,2,5,253,5,51 
STNDUB,51,2,6,357,4,89 
STNDUB,51,2,7,526,3,175 
STNDUB,51,2,8,600,14,43 
STNDUB,51,2,9,2022,45,45 
STNDUB,51,2,10,1426,41,35 
STNDUB,51,2,11,1877,53,35 
STNDUB,51,2,12,2803,60,47 
STNDUB,51,2,13,2158,52,41 
STNDUB,51,2,14,2182,60,36 
STNDUB,51,2,15,2659,67,40 
STNDUB,51,2,16,3026,75,40 
STNDUB,51,2,17,2511,66,38 
STNDUB,51,2,18,3192,62,51 
STNDUB,51,2,19,3565,96,37 
STNDUB,51,2,20,3141,81,39 
STNDUB,51,2,21,2975,78,38 
STNDUB,51,2,22,2285,66,35 
STNDUB,51,2,23,2156,44,49 
STNDUB,51,3,0,462,18,26 
STNDUB,51,3,1,298,7,43 
STNDUB,51,3,2,347,7,50 
STNDUB,51,3,3,32,2,16 
STNDUB,51,3,4,369,7,53 
STNDUB,51,3,5,45,1,45 
STNDUB,51,3,6,427,10,43 
STNDUB,51,3,7,305,6,51 
STNDUB,51,3,8,894,21,43 
STNDUB,51,3,9,1584,35,45 
STNDUB,51,3,10,1869,45,42 
STNDUB,51,3,11,1857,47,40 
STNDUB,51,3,12,1630,63,26 
STNDUB,51,3,13,1528,47,33 
STNDUB,51,3,14,2238,63,36 
STNDUB,51,3,15,1566,45,35 
STNDUB,51,3,16,2689,58,46 
STNDUB,51,3,17,2260,50,45 
STNDUB,51,3,18,2084,41,51 
STNDUB,51,3,19,2758,70,39 
STNDUB,51,3,20,1991,65,31 
STNDUB,51,3,21,2453,67,37 
STNDUB,51,3,22,1244,43,29 
STNDUB,51,3,23,1381,34,41 
STNDUB,51,4,0,874,26,34 
STNDUB,51,4,1,392,13,30 
STNDUB,51,4,2,78,2,39 
STNDUB,51,4,3,74,3,25 
STNDUB,51,4,4,100,1,100 
STNDUB,51,4,6,316,14,23 
STNDUB,51,4,7,562,7,80 
STNDUB,51,4,8,1423,34,42 
STNDUB,51,4,9,1235,30,41 
STNDUB,51,4,10,1465,42,35 
STNDUB,51,4,11,2248,59,38 
STNDUB,51,4,12,1156,42,28 
STNDUB,51,4,13,2398,67,36 
STNDUB,51,4,14,2675,69,39 
STNDUB,51,4,15,2077,48,43 
STNDUB,51,4,16,1715,42,41 
STNDUB,51,4,17,1550,54,29 
STNDUB,51,4,18,1044,36,29 
STNDUB,51,4,19,1903,62,31 
STNDUB,51,4,20,3382,72,47 
STNDUB,51,4,21,3389,103,33 
STNDUB,51,4,22,2127,66,32 
STNDUB,51,4,23,1517,50,30 
STNDUB,51,5,0,407,10,41
